"time_utc","type","latitude","longitude","peak_current","ic_height","number_of_sensors"
"2023-03-01T09:23:18.647174687","1","-5.947392","-48.892528","2531.0","5544.0","7"
"2023-03-01T09:24:41.706563306","0","-5.781933","-48.95564","-194445.0","0.0","19"
"2023-03-01T09:24:41.820134839","0","-5.799962","-48.96781","-65072.0","0.0","22"
"2023-03-01T09:24:41.855610911","0","-5.801881","-48.969812","-42342.0","0.0","18"
"2023-03-01T09:24:41.917168703","1","-5.799424","-48.947838","7324.0","17763.0","8"
"2023-03-01T09:24:41.929911198","0","-5.764941","-49.000874","-14921.0","0.0","19"
"2023-03-01T09:25:33.160417028","1","-5.79767","-48.957488","18335.0","7007.0","19"
"2023-03-01T09:25:33.161412298","1","-5.792477","-48.965942","5908.0","3309.0","12"
"2023-03-01T09:25:33.195956161","0","-5.805466","-48.954684","11303.0","0.0","18"
"2023-03-01T09:26:25.313190000","40","-5.7161","-48.982","20345.0","0.0","13"
"2023-03-01T09:26:25.323873576","1","-5.784651","-48.946095","5419.0","12949.0","13"
"2023-03-01T09:26:25.347961419","1","-5.849547","-48.893849","-6770.0","6826.0","11"
"2023-03-01T09:26:25.361526795","1","-5.647222","-49.04283","-4518.0","5885.0","8"
"2023-03-01T09:26:25.370365995","1","-5.804715","-48.964427","3125.0","8868.0","8"
"2023-03-01T09:26:25.401227062","1","-5.796446","-48.9498","3302.0","6370.0","8"
"2023-03-01T09:26:25.411934295","1","-5.827927","-48.986284","-2347.0","4961.0","6"
"2023-03-01T09:26:25.413690581","1","-5.827909","-48.986663","-2524.0","7385.0","7"
"2023-03-01T09:26:25.581299959","1","-5.829841","-48.985335","-2258.0","5512.0","6"
"2023-03-01T09:26:25.584262930","1","-5.831294","-48.996657","2707.0","11321.0","7"
"2023-03-01T09:26:25.592807673","1","-5.794401","-48.963313","2509.0","4624.0","6"
"2023-03-01T09:26:25.605130275","1","-5.798886","-48.965841","3819.0","7425.0","7"
"2023-03-01T09:26:25.618071556","1","-5.714728","-48.981595","-6305.0","7110.0","12"
"2023-03-01T09:26:25.618695550","1","-5.788295","-48.902854","-2802.0","7959.0","7"
"2023-03-01T09:26:25.637421830","1","-5.74633","-48.93439","3198.0","7111.0","7"
"2023-03-01T09:26:25.648264151","1","-5.788583","-48.960935","4964.0","7160.0","11"
"2023-03-01T09:26:25.654770700","0","-5.871933","-49.013557","-33074.0","0.0","29"
"2023-03-01T09:26:25.656769443","0","-5.779094","-48.898767","9128.0","0.0","13"
"2023-03-01T09:26:25.688659152","1","-5.803679","-48.94377","2381.0","6694.0","8"
"2023-03-01T09:28:04.716750382","0","-5.791213","-48.9753","-247202.0","0.0","21"
"2023-03-01T09:28:06.221814598","1","-5.825407","-48.998853","4116.0","6877.0","8"
"2023-03-01T09:28:06.226555303","1","-5.756114","-49.02886","7681.0","15368.0","8"
"2023-03-01T09:28:06.235981880","1","-5.829155","-48.995914","2728.0","17805.0","8"
"2023-03-01T09:28:06.273236218","1","-5.811515","-48.966243","2002.0","6660.0","5"
"2023-03-01T09:28:06.533727479","1","-5.792812","-48.975182","-2489.0","4877.0","7"
"2023-03-01T09:28:06.562624297","1","-5.81351","-48.990469","2746.0","3067.0","6"
"2023-03-01T09:28:06.581150439","0","-5.761824","-49.00981","-7115.0","0.0","16"
"2023-03-01T09:28:06.581883549","1","-5.813436","-48.991784","-8138.0","7731.0","19"
"2023-03-01T09:28:59.594738790","1","-5.81043","-48.940315","21941.0","14993.0","21"
"2023-03-01T09:28:59.763600798","1","-5.807038","-48.938289","-4517.0","4576.0","9"
"2023-03-01T09:28:59.764334225","1","-5.786359","-48.952337","-4808.0","12769.0","13"
"2023-03-01T09:28:59.792332403","1","-5.760623","-48.966949","-2554.0","3005.0","6"
"2023-03-01T09:28:59.797823407","1","-5.802939","-48.952864","3581.0","5777.0","10"
"2023-03-01T09:28:59.815816486","1","-5.798049","-48.998068","-3276.0","11566.0","7"
"2023-03-01T09:28:59.839173347","1","-5.807539","-48.926061","-1653.0","17891.0","6"
"2023-03-01T09:28:59.881107666","0","-5.77615","-48.948346","-2094.0","0.0","6"
"2023-03-01T09:28:59.937719305","1","-5.774433","-48.952683","-1677.0","12901.0","5"
"2023-03-01T09:28:59.996516483","1","-5.794037","-48.913765","1840.0","7104.0","6"
"2023-03-01T09:29:00.093917742","1","-5.798028","-48.920495","2881.0","9888.0","8"
